VERB,PP_ADJ_Count,Past_Participle,VERB_COUNT,Total_Count
baptize,69425,baptized,3019567,209633438975
capitalize,118837,capitalized,1762161,209409926757
document,31738,documented,6569040,208488191520
mention,3502,mentioned,58973889,206526559278
brand,163935,branded,1250766,205044324210
apprehend,52260,apprehended,3923524,205043364240
commence,18648,commenced,10988631,204915990888
vanquish,184260,vanquished,1106866,203951129160
mine,111041,mined,1834192,203670513872
elaborate,48576,elaborated,4171058,202613313408
flaw,349397,flawed,577631,201822538507
wet,134440,wetted,1495002,200988068880
disorder,1287585,disordered,155553,200287709505
fence,191262,fenced,1046848,200222242176
extinguish,69820,extinguished,2861869,199815693580
proffer,328733,proffered,607566,199726993878
uplift,288093,uplifted,691846,199315989678
ornament,140907,ornamented,1405953,198108619371
shell,251964,shelled,784196,197589160944
empower,50920,empowered,3865009,196806258280
initiate,15547,initiated,12647754,196634631438
ventilate,265909,ventilated,738133,196276207897
personalize,580335,personalized,337958,196128855930
carve,32367,carven,6042045,195562870515
segment,397275,segmented,491227,195152206425
dissect,142619,dissected,1364051,194539589569
adore,87131,adored,2231705,194450688355
execute,11369,executed,17088182,194275541158
quantify,106865,quantified,1815992,194065985080
damp,133605,damped,1449745,193693180725
sculpture,479245,sculptured,401789,192555369305
distend,273542,distended,703281,192376891302
rig,222187,rigged,865597,192324400639
forecast,95027,forecasted,2020364,191989129828
replicate,114054,replicated,1675197,191062918638
cement,148432,cemented,1277751,189659136432
entangle,154272,entangled,1227167,189317507424
lace,245674,laced,767997,188676894978
bottle,329832,bottled,569484,187834046688
box,200898,boxed,934761,187791615378
depart,18955,departed,9844372,186600071260
crumple,336040,crumpled,550395,184954735800
wilt,120385,wilted,1529890,184175807650
warp,229877,warped,800620,184044123740
overload,215700,overloaded,843673,181980266100
immerse,73482,immersed,2475037,181870668834
cock,218066,cocked,833634,181787231844
mass,205165,massed,884821,181534300465
engineer,134335,engineered,1350083,181363399805
improvise,142672,improvised,1269212,181081014464
tint,406370,tinted,445334,180970377580
tone,348638,toned,518485,180763573430
rectify,129669,rectified,1384371,179510003199
graft,128310,grafted,1397163,179269984530
disintegrate,121501,disintegrated,1474060,179099764060
except,51360,excepted,3469337,178185148320
pressure,105160,pressured,1689351,177652151160
diagnose,43987,diagnosed,4038122,177624872414
depreciate,174714,depreciated,1016119,177530214966
summarize,17876,summarized,9866391,176371605516
ingest,189131,ingested,930312,175950838872
press,7857,pressed,22388461,175906138077
pray,10396,prayed,16866135,175340339460
horrify,157540,horrified,1112694,175293812760
wish,3342,wished,52217174,174509795508
reconstitute,226739,reconstituted,769234,174415347926
merit,103792,merited,1678643,174229714256
constrict,250640,constricted,694012,173947167680
impute,101055,imputed,1721141,173929903755
impact,90909,impacted,1912936,173903098824
inoculate,169442,inoculated,1018444,172567188248
mute,563584,muted,305977,172443741568
spray,80710,sprayed,2132430,172108425300
omit,17411,omitted,9848422,171470875442
roof,334398,roofed,509827,170485129146
plough,138334,ploughed,1225107,169473951738
humiliate,144006,humiliated,1176675,169448260050
bomb,113886,bombed,1486351,169274569986
fringe,299320,fringed,559781,167553648920
feather,506827,feathered,330501,167506830327
steam,94393,steamed,1767029,166795168397
fertilize,147858,fertilized,1126253,166525516074
body,944749,bodied,175328,165640952672
chain,144479,chained,1144283,165324863557
deprive,17161,deprived,9627623,165219638303
extract,13183,extracted,12531970,165208960510
package,118122,packaged,1393771,164635018062
mouth,482625,mouthed,341052,164600221500
aggrieve,465537,aggrieved,353496,164565467352
invoke,26692,invoked,6149846,164151689432
fork,378628,forked,431905,163531326340
interweave,161952,interwoven,1006451,162996752352
plunder,94707,plundered,1715061,162428282127
pour,8347,poured,19433448,162210990456
brush,41506,brushed,3906712,162151988272
overgrow,365096,overgrown,444060,162124529760
refresh,89287,refreshed,1813369,161910277903
embark,36883,embarked,4377693,161462450919
board,59382,boarded,2715285,161239053870
tan,305084,tanned,528222,161152080648
ravage,165495,ravaged,973349,161084392755
tabulate,138517,tabulated,1162477,161022826609
section,115929,sectioned,1388751,160996514679
sterilize,176586,sterilized,907547,160260094542
grill,411354,grilled,387532,159412838328
verse,122817,versed,1296272,159204238224
quench,104043,quenched,1529189,159101411127
obliterate,89603,obliterated,1774244,158977585132
accentuate,95664,accentuated,1646381,157499391984
assort,630810,assorted,248765,156923449650
empty,49106,emptied,3165786,155459087316
level,42921,levelled,3618310,155301483510
addict,152203,addicted,1019107,155111142721
embody,19866,embodied,7778548,154528634568
intertwine,166499,intertwined,927507,154428987993
naturalize,267858,naturalized,576459,154409154822
slip,14414,slipped,10672570,153834423980
convict,33166,convicted,4613340,153006034440
stud,196250,studded,777573,152598701250
propagate,44693,propagated,3412768,152526840224
degenerate,103180,degenerated,1477025,152399439500
like,2771,liked,54868945,152041846595
colonize,139464,colonized,1083555,151116914520
chip,273147,chipped,552202,150832319694
defend,8185,defended,18395905,150570482425
eject,121611,ejected,1237318,150471479298
acclaim,231313,acclaimed,647505,149776324065
cleave,129477,cloven,1154158,149436915366
lift,8533,lifted,17508487,149399919571
recite,39436,recited,3781235,149116783460
visit,4194,visited,35502219,148896306486
exempt,61008,exempted,2440169,148869830352
drop,5520,dropped,26749431,147656859120
thatch,512303,thatched,287882,147482812246
brace,87840,braced,1672490,146911521600
hallow,575782,hallowed,254340,146444393880
tumble,60234,tumbled,2427641,146226527994
craft,182072,crafted,801425,145917052600
duplicate,78670,duplicated,1853805,145838839350
meditate,68802,meditated,2108134,145043835468
smother,148845,smothered,969003,144231251535
consume,13146,consumed,10951896,143973624816
speed,32904,speeded,4368175,143730430200
fledge,586972,fledged,244613,143580981836
configure,63392,configured,2256874,143067756608
question,9914,questioned,14403592,142797211088
school,67863,schooled,2103428,142744934364
catalyze,158720,catalyzed,898096,142545797120
mince,191497,minced,741501,141995216997
chew,50006,chewed,2832346,141634294076
puff,115168,puffed,1227632,141383922176
authenticate,154996,authenticated,909125,140910738500
strangle,127764,strangled,1100602,140617313928
conflict,110128,conflicted,1274628,140372232384
overcome,9147,overcome,15342999,140342411853
pit,126904,pitted,1104138,140119528752
discuss,2060,discussed,67992771,140065108260
anneal,155924,annealed,897737,139978743988
plate,404556,plated,344621,139418493276
average,27925,averaged,4985246,139212994550
compose,5668,composed,24326121,137880453828
lean,12101,leant,11367399,137556895299
fade,20767,faded,6563262,136299261954
nail,93492,nailed,1455707,136096958844
plow,103721,plowed,1311360,136015570560
discard,29620,discarded,4589083,135928638460
infuriate,324608,infuriated,417676,135580971008
amaze,47016,amazed,2878064,135315057024
quicken,85352,quickened,1583398,135146186096
recall,6152,recalled,21955612,135070925024
fascinate,56549,fascinated,2385311,134886951739
dog,335997,dogged,401444,134883979668
partition,117626,partitioned,1140855,134194210230
reach,1481,reached,90508558,134043174398
assemble,11810,assembled,11348157,134021734170
ionize,119984,ionized,1116195,133925540880
corner,297258,cornered,448333,133270570914
ting,102562,tinged,1299183,133246806846
staff,97148,staffed,1363608,132471789984
thin,79358,thinned,1663433,132006716014
shred,270845,shredded,487079,131922911755
elicit,29643,elicited,4430346,131328746478
disorganize,212722,disorganized,615284,130884443048
congest,495579,congested,263993,130829386947
stunt,597676,stunted,218224,130427247424
rivet,162742,riveted,800052,130202062584
mitigate,64834,mitigated,2002487,129829242158
crystallize,77486,crystallized,1665181,129028214966
laminate,552074,laminated,233417,128863456858
pluck,62968,plucked,2045473,128799343864
usurp,101321,usurped,1270850,128763792850
key,155417,keyed,827898,128669423466
heap,102919,heaped,1247366,128377661354
drench,166454,drenched,769797,128135789838
deem,10985,deemed,11639055,127855019175
dig,14428,dug,8843056,127587611968
ruffle,238056,ruffled,533948,127109525088
silence,49319,silenced,2568377,126669785263
undress,169158,undressed,748650,126640136700
approximate,53376,approximated,2372051,126610594176
intimidate,72888,intimidated,1735492,126496540896
excise,161952,excised,780548,126411309696
hospitalize,160155,hospitalized,787330,126094836150
oil,268469,oiled,468943,125896658267
scrub,126141,scrubbed,996937,125754630117
solve,5368,solved,23423195,125735710760
flare,102218,flared,1229740,125701563320
neck,460389,necked,272374,125397993486
highlight,20025,highlighted,6259115,125338777875
undercut,169154,undercut,740505,125259382770
foster,22838,fostered,5473295,124999111210
coin,76388,coined,1630480,124549106240
advantage,171088,advantaged,727679,124497144752
trample,81861,trampled,1520443,124464984423
replace,4170,replaced,29841177,124437708090
tag,111864,tagged,1110423,124216358472
deflect,88807,deflected,1398664,124211153848
abort,191625,aborted,647698,124115129250
crucify,85946,crucified,1439733,123739292418
scorch,207982,scorched,594273,123598087086
disillusion,194039,disillusioned,630939,122426772621
mottle,470438,mottled,257802,121279857276
engage,3337,engaged,36332714,121242266618
insert,9993,inserted,12129867,121213760931
fin,78573,finned,1537854,120833802342
groom,132120,groomed,914324,120800486880
transcribe,73445,transcribed,1638810,120362400450
joint,441656,jointed,272191,120214788296
unlock,80053,unlocked,1500395,120111120935
sting,93008,stung,1289620,119944976960
dismantle,93580,dismantled,1277707,119567821060
curse,31580,curst,3772046,119121212680
slant,147163,slanted,808636,119001299668
detain,38520,detained,3080925,118677231000
people,137338,peopled,860513,118181134394
ascend,17679,ascended,6679996,118095649284
front,173224,fronted,676695,117219814680
cede,76312,ceded,1534461,117097787832
minimize,15104,minimized,7751104,117072674816
bridge,59596,bridged,1964334,117066449064
spill,45606,spilt,2555954,116566838124
begin,658,begun,177106734,116536230972
labour,40533,laboured,2873228,116460550524
galvanize,347755,galvanized,334768,116417245840
notch,285226,notched,407618,116263251668
horn,488340,horned,237972,116211246480
pot,316990,potted,365932,115996784680
exacerbate,72301,exacerbated,1598254,115555362454
shift,6987,shifted,16431351,114805849437
copyright,241271,copyrighted,475203,114652703013
farm,43825,farmed,2612199,114479621175
embitter,207628,embittered,550065,114208895820
cleanse,52900,cleansed,2158793,114200149700
heave,64319,hove,1769063,113784363097
cease,6373,ceased,17823921,113591848533
pull,3700,pulled,30592621,113192697700
photograph,57037,photographed,1983306,113121824322
lease,38328,leased,2949724,113057021472
shin,18296,shinned,6171592,112915447232
underdevelop,1363945,underdeveloped,82529,112565016905
insult,56757,insulted,1979046,112324713822
loop,98129,looped,1143972,112256828388
terminate,12556,terminated,8928586,112107325816
obey,11948,obeyed,9363749,111878073052
ice,414831,iced,269095,111628947945
encircle,62314,encircled,1788503,111448775942
anoint,94471,anointed,1179353,111414657263
treasure,191343,treasured,579947,110968798821
interpolate,191066,interpolated,580399,110894515334
stitch,116245,stitched,953745,110868087525
influence,3922,influenced,28266022,110859338284
weary,129761,wearied,850946,110419603906
vanish,15942,vanished,6922108,110352245736
streak,150336,streaked,731151,109918316736
mechanize,601616,mechanized,182457,109769050512
converge,42986,converged,2544939,109396747854
indulge,21484,indulged,5074278,109015788552
seclude,906628,secluded,119827,108638513356
mortgage,167636,mortgaged,646409,108361419124
cancel,21963,cancelled,4917071,107993630373
crumble,51168,crumbled,2110104,107969801472
conjugate,497279,conjugated,216563,107692232077
cup,128019,cupped,840423,107590112037
personify,115830,personified,924458,107079970140
bar,22902,barred,4666457,106871198214
miss,4746,missed,22425966,106433634636
bereave,423309,bereaved,251396,106418189364
rescue,23928,rescued,4434979,106120177512
accommodate,14740,accommodated,7197056,106084605440
moisten,123934,moistened,854865,105946838910
smuggle,106182,smuggled,997065,105870355830
format,105392,formatted,998115,105193336080
explain,1471,explained,71258190,104820797490
mend,56184,mended,1861803,104603539752
patch,155717,patched,670495,104407469915
graze,30454,grazed,3416189,104036619806
perturb,193090,perturbed,538029,103888019610
poison,37218,poisoned,2784417,103630431906
impregnate,104586,impregnated,987187,103245939582
disqualify,96767,disqualified,1066551,103206940617
evolve,9286,evolved,11100686,103080970196
enroll,148724,enrolled,691033,102773191892
forfeit,45882,forfeited,2236598,102619589436
formalize,95530,formalized,1073604,102561390120
thrust,21394,thrust,4754128,101709814432
attend,2912,attended,34893126,101608782912
screw,74161,screwed,1367745,101433336945
lash,74695,lashed,1351624,100959554680
venerate,159907,venerated,631105,100918107235
pay,977,payed,102852074,100486476298
synchronize,90201,synchronized,1113775,100463618775
solidify,100158,solidified,1001930,100351304940
exhaust,12026,exhausted,8343588,100339989288
analyze,6357,analyzed,15757551,100170751707
uproot,144905,uprooted,691263,100167465015
discontent,787964,discontented,126742,99868133288
groove,301108,grooved,331144,99710107552
procure,14159,procured,7037591,99645250969
whip,29860,whipped,3334708,99574380880
encrypt,261843,encrypted,378545,99119358435
nationalize,205039,nationalized,482705,98973350495
finger,155513,fingered,636146,98928972898
rank,17509,ranked,5632178,98613804602
smear,103853,smeared,945816,98225829048
ingrain,276536,ingrained,354944,98154793984
validate,38842,validated,2518820,97836006440
explode,23950,exploded,4077081,97646089950
infuse,58849,infused,1658022,97572936678
smite,71344,smitten,1366666,97503419104
inlay,265933,inlaid,365330,97153302890
moderate,80805,moderated,1197583,96770694315
rim,326201,rimmed,296082,96582244482
sketch,29749,sketched,3228793,96053362957
proscribe,143225,proscribed,670322,96006868450
immobilize,117635,immobilized,814010,95756066350
harmonize,66592,harmonized,1428550,95130001600
exert,9787,exerted,9719107,95120900209
narrate,50481,narrated,1868994,94348686114
disarm,74993,disarmed,1257684,94317496212
stall,102728,stalled,913833,93876236424
resist,6229,resisted,14991793,93383878597
accent,219242,accented,425555,93299529310
skim,88884,skimmed,1047740,93127322160
perish,18072,perished,5140260,92894778720
repeal,29151,repealed,3176622,92601707922
clean,10974,cleaned,8409405,92284810470
ignite,65821,ignited,1400073,92154204933
predispose,74588,predisposed,1234409,92072098492
distance,63836,distanced,1432294,91431919784
rust,186933,rusted,485591,90772982403
appear,575,appeared,157269580,90430008500
brim,239217,brimmed,377989,90421394613
tile,412961,tiled,218517,90238998837
spike,186055,spiked,484745,90189230975
fasten,19913,fastened,4525192,90110148296
shroud,125569,shrouded,717208,90059091352
shear,77391,shorn,1150674,89051811534
parch,515433,parched,172744,89037958152
overwork,254136,overworked,349863,88912783368
file,5951,filed,14935768,88882755368
indent,181512,indented,487670,88517957040
occlude,203431,occluded,431217,87722905527
retract,79730,retracted,1093806,87209152380
believe,751,believed,115953947,87081414197
plaster,130530,plastered,665570,86876852100
audit,85422,audited,1016584,86838638448
mash,202860,mashed,427207,86663212020
eat,2330,eaten,37176386,86620979380
refrigerate,321726,refrigerated,268959,86531103234
slit,209963,slit,409930,86070132590
denominate,88787,denominated,968171,85960998577
debase,130702,debased,656661,85826906022
defeat,7325,defeated,11701656,85714630200
clog,108689,clogged,787001,85538351689
forest,526658,forested,161905,85268563490
coerce,79232,coerced,1067487,84579129984
bead,288801,beaded,292349,84430683549
dislocate,195574,dislocated,431578,84405435772
sift,67793,sifted,1237651,83904074243
append,54134,appended,1549914,83903044476
supersede,29225,superseded,2858046,83526394350
conjoin,148344,conjoined,559205,82954706520
dismiss,8077,dismissed,10252726,82811267902
orientate,185635,orientated,445839,82763322765
wrong,111898,wronged,739018,82694636164
glorify,38545,glorified,2145034,82680335530
challenge,6534,challenged,12650187,82656321858
dismay,116571,dismayed,708327,82570386717
assert,4570,asserted,17873357,81681241490
misguide,890938,misguided,91522,81540427636
perch,50416,perched,1616993,81522319088
infiltrate,77899,infiltrated,1044970,81402118030
daze,128752,dazed,631880,81355813760
bid,13571,bidden,5992874,81329293054
gather,3228,gathered,25081886,80964328008
splash,64857,splashed,1247450,80905864650
award,14279,awarded,5631641,80414201839
address,2488,addrest,32312090,80392479920
criticize,11466,criticized,6970687,79925897142
deny,2791,denied,28525908,79615809228
hedge,74043,hedged,1073970,79519960710
taint,82235,tainted,964615,79325114525
double,11221,doubled,7015260,78718232460
pain,99655,pained,788130,78541095150
marginalize,109318,marginalized,716059,78278137762
variegate,584221,variegated,133756,78143064076
spell,15943,spelt,4893162,78011681766
expend,21134,expended,3684166,77861164244
detest,73123,detested,1057404,77320552692
intensify,18556,intensified,4162000,77230072000
sensitize,109797,sensitized,702745,77159292765
comb,69109,combed,1115338,77079893842
attune,122097,attuned,630113,76934906961
expedite,93791,expedited,818939,76809107749
subjugate,112347,subjugated,681580,76573468260
inactivate,128085,inactivated,597636,76548207060
knot,115782,knotted,658707,76266413874
envelop,37232,enveloped,2043999,76102170768
rinse,57012,rinsed,1332579,75972993948
emaciate,280723,emaciated,270387,75903849801
exhale,84145,exhaled,899035,75649300075
survey,13642,surveyed,5542372,75609038824
clutter,188605,cluttered,399111,75274330155
substantiate,46097,substantiated,1631949,75227953053
terrace,317589,terraced,236732,75183479148
presuppose,26657,presupposed,2819887,75169727759
ignore,3843,ignored,19502328,74947446504
posit,38694,posited,1934555,74855671170
extrapolate,90142,extrapolated,827053,74552211526
word,48443,worded,1538040,74507271720
conform,10946,conformed,6781162,74226599252
ban,24958,banned,2965689,74017666062
render,2517,rendered,29330136,73823952312
toe,190922,toed,386414,73774933708
awe,125355,awed,586598,73532992290
launch,7580,launched,9603791,72796735780
beam,48098,beamed,1510222,72638657756
humble,101743,humbled,713729,72616929647
whitewash,256936,whitewashed,281672,72371676992
contact,15196,contacted,4757321,72292249916
anger,78277,angered,923119,72258985963
maim,143332,maimed,503849,72217684868
throw,1675,thrown,43113123,72214481025
undo,35309,undone,2042185,72107510165
signify,8609,signified,8374304,72094383136
compact,145238,compacted,495887,72021636106
chart,51009,charted,1407912,71816183208
blunt,118526,blunted,603545,71535774670
precipitate,16906,precipitated,4204971,71089239726
extrude,169405,extruded,419587,71080135735
overthrow,22921,overthrown,3097991,71009051711
devolve,63897,devolved,1110870,70981260390
unbalance,932487,unbalanced,75671,70562223777
gate,246135,gated,286573,70535645355
bestow,12593,bestowed,5580192,70271357856
derange,184681,deranged,380378,70248589418
lump,151025,lumped,464615,70168480375
sequester,322424,sequestered,217359,70081758216
burnish,304344,burnished,228717,69608646648
redouble,153378,redoubled,452817,69452165826
migrate,18301,migrated,3786726,69300872526
die,794,died,87156221,69202039474
grease,222058,greased,310734,69000970572
worship,11760,worshipped,5861046,68925900960
count,3626,counted,18964011,68763503886
till,95439,tilled,719636,68681340204
disengage,77086,disengaged,890945,68679386270
bottom,335549,bottomed,204515,68624803735
sling,75232,slung,908772,68368735104
censor,132854,censored,512034,68025765036
appreciate,4851,appreciated,13964521,67741891371
mobilize,22408,mobilized,3022017,67717356936
compel,4377,compelled,15428742,67531603734
leach,87684,leached,769554,67477572936
jam,50476,jammed,1332122,67240190072
televise,247307,televised,271807,67219773749
refract,152327,refracted,439787,66991434349
herald,63791,heralded,1047776,66838678816
subtract,23111,subtracted,2883484,66640198724
tarnish,130752,tarnished,508641,66505828032
web,107421,webbed,615014,66065418894
kindle,32131,kindled,2054705,66019726355
muddle,156926,muddled,419244,65790283944
stew,135236,stewed,485434,65648152424
punctuate,72243,punctuated,907415,65554381845
bleed,11689,bled,5607219,65542782891
boot,94625,booted,692183,65497816375
lapse,58804,lapsed,1113307,65466904828
outlaw,70492,outlawed,924493,65169360556
discriminate,20720,discriminated,3144739,65158992080
allocate,10949,allocated,5926440,64888591560
deduce,17760,deduced,3638487,64619529120
aggravate,24201,aggravated,2665646,64511298846
neutralize,30616,neutralized,2106549,64494104184
sprinkle,26822,sprinkled,2394846,64234559412
prepay,534051,prepaid,120166,64174772466
transport,8452,transported,7591663,64164735676
itemize,243752,itemized,262595,64008056440
excrete,49117,excreted,1301737,63937416229
protrude,41574,protruded,1533281,63744624294
frost,228030,frosted,279476,63728912280
redden,105938,reddened,600460,63611531480
inclose,68746,inclosed,921403,63342770638
flood,17769,flooded,3564074,63330030906
petrify,353650,petrified,178889,63264094850
access,11300,accessed,5594594,63218912200
brown,85938,browned,735425,63200953650
snap,14132,snapped,4466321,63118048372
nurse,10704,nursed,5861947,62746280688
deck,95156,decked,656852,62503408912
resurrect,80262,resurrected,776889,62354664918
denote,6141,denoted,10134789,62237739249
disband,61113,disbanded,1016640,62129920320
shed,8273,shed,7490617,61969874441
zone,46211,zoned,1334455,61666500005
hood,357464,hooded,172238,61568884432
blight,165566,blighted,368457,61003951662
astound,95134,astounded,638931,60784061754
prune,59232,pruned,1024586,60688277952
buckle,72033,buckled,841045,60582994485
tame,54301,tamed,1107066,60114790866
incubate,42571,incubated,1412097,60114381387
sinter,197193,sintered,303119,59772944967
embellish,58042,embellished,1025740,59536001080
hydrate,506709,hydrated,117381,59478009129
mimeograph,370822,mimeographed,160248,59423483856
expire,16265,expired,3644421,59276507565
strap,64099,strapped,924490,59258884510
dehydrate,159804,dehydrated,370361,59185169244
machine,93162,machined,634814,59140541868
displease,46513,displeased,1271200,59127325600
redeem,16460,redeemed,3553802,58495580920
perfume,286728,perfumed,204001,58492798728
impede,22173,impeded,2637640,58484391720
net,71858,netted,813650,58467261700
dream,6417,dreamt,9075239,58235808663
shoe,161070,shod,359373,57884209110
incarcerate,114895,incarcerated,503274,57823666230
deprave,623802,depraved,92563,57740984526
delineate,25765,delineated,2230931,57479937215
act,967,acted,59205436,57251656612
interpose,35580,interposed,1607350,57189513000
pump,12880,pumped,4435368,57127539840
instruct,5954,instructed,9593220,57118031880
master,12788,mastered,4458338,57013226344
coagulate,127341,coagulated,447651,57004325991
bone,165136,boned,344686,56920067296
row,33231,rowed,1712090,56894462790
channel,30292,channelled,1872132,56710622544
disgrace,55537,disgraced,1013758,56301078046
mow,66531,mown,846183,56297401173
chlorinate,260108,chlorinated,214376,55760912608
punish,5837,punished,9534995,55655765815
panic,64004,panicked,869394,55644693576
bark,35950,barked,1546512,55597106400
service,25499,serviced,2177225,55517060275
host,31598,hosted,1755151,55459261298
dismount,46668,dismounted,1184242,55266205656
blaze,29264,blazed,1884688,55153509632
pickle,239374,pickled,230334,55135970916
disfigure,97889,disfigured,560900,54905940100
mangle,392902,mangled,139656,54871121712
recess,184296,recessed,296784,54696104064
fatigue,59324,fatigued,920326,54597419624
exceed,2523,exceeded,21599675,54495980025
dice,190912,diced,285418,54489721216
reason,12958,reasoned,4201357,54441184006
hollow,104305,hollowed,521929,54439804345
pamper,260559,pampered,208762,54394817958
splinter,168603,splintered,321914,54275666142
detect,3460,detected,15620499,54046926540
obligate,42768,obligated,1260173,53895078864
relocate,48532,relocated,1104466,53601943912
intersperse,48928,interspersed,1091149,53387738272
saddle,68200,saddled,782734,53382458800
revolve,16047,revolved,3324019,53340532893
rouse,15593,roused,3418150,53299212950
agonize,211072,agonized,252428,53280482816
stir,4487,stirred,11849159,53167176433
chase,13880,chased,3812831,52922094280
invite,2733,invited,19330812,52831109196
intersect,22800,intersected,2287284,52150075200
demoralize,109507,demoralized,474282,51937198974
rib,309478,ribbed,167601,51868822278
reunite,54428,reunited,952839,51861121092
overheat,139602,overheated,371191,51819005982
corrode,121645,corroded,424607,51651318515
slot,238211,slotted,216149,51489069439
lighten,35851,lightened,1434565,51430589815
flourish,9492,flourished,5399373,51250848516
transpose,63621,transposed,804648,51192510408
puncture,89439,punctured,569911,50972269929
skirt,52940,skirted,958753,50756383820
contraindicate,408198,contraindicated,124332,50752073736
debilitate,255428,debilitated,198382,50672317496
pop,18893,popped,2677771,50591127503
legislate,43496,legislated,1162303,50555531288
flute,281731,fluted,179143,50470136533
stand,440,stood,114642046,50442500240
discontinue,18853,discontinued,2663999,50224373147
term,5683,termed,8815560,50098827480
broil,166480,broiled,300842,50084176160
dazzle,47254,dazzled,1057754,49983107516
compound,15628,compounded,3192153,49886967084
vitiate,79849,vitiated,624196,49841426404
calcify,268202,calcified,185657,49793578714
occasion,13441,occasioned,3699012,49718420292
depose,30894,deposed,1608026,49678355244
revolt,48010,revolted,1032706,49580215060
comprehend,8456,comprehended,5849816,49466044096
quilt,141984,quilted,347836,49387146624
shrivel,119278,shrivelled,413461,49316801158
enamel,196419,enamelled,251067,49314329073
suffer,1128,suffered,43666096,49255356288
interlace,139634,interlaced,352663,49243745342
decode,50259,decoded,974607,48982773213
furrow,153246,furrowed,317973,48728090358
rearrange,33827,rearranged,1439559,48695962293
flatten,17675,flattened,2746238,48539756650
speckle,261748,speckled,184883,48392755484
sculpt,136483,sculpted,353824,48290960992
entertain,5702,entertained,8446781,48163545262
renovate,59644,renovated,804996,48013181424
eliminate,2671,eliminated,17827903,47618328913
fuel,30888,fuelled,1540048,47569002624
oversimplify,203836,oversimplified,233367,47568595812
magnify,22048,magnified,2157102,47559784896
illumine,73716,illumined,645114,47555223624
flag,75190,flagged,631186,47458875340
scramble,25229,scrambled,1876262,47336213998
invent,5628,invented,8395588,47250369264
brew,54598,brewed,865258,47241356284
halve,89846,halved,524651,47137793746
comment,5447,commented,8636121,47040951087
stray,30164,strayed,1552040,46815734560
overpower,46379,overpowered,1008458,46771273582
preclude,11741,precluded,3982285,46756008185
remodel,52731,remodeled,885986,46718927766
interfere,4304,interfered,10846905,46685079120
hasten,9001,hastened,5178326,46610112326
corrugate,572288,corrugated,81435,46604273280
landscape,146320,landscaped,318136,46549659520
occur,443,occurred,105055652,46539653836
stylize,642325,stylized,72401,46504972325
craze,199030,crazed,233590,46491417700
scan,10442,scanned,4444626,46410784692
orchestrate,74159,orchestrated,625361,46376146399
solder,72874,soldered,635999,46347791126
granulate,240024,granulated,192991,46322471784
convey,3234,conveyed,14320011,46310915574
striate,450736,striated,102552,46223878272
estrange,68349,estranged,675697,46183214253
flatter,18674,flatted,2473129,46183210946
cage,202898,caged,227074,46072860452
dim,65513,dimmed,703192,46068217496
sheathe,91666,sheathed,502325,46046123450
poach,133689,poached,344354,46036341906
depend,780,depended,58968511,45995438580
sleep,1824,slept,25198437,45961949088
deviate,22966,deviated,2001091,45957055906
commend,16066,commended,2850838,45801563308
shipwreck,213946,shipwrecked,213966,45777169836
fray,234349,frayed,194568,45596816232
humour,216018,humoured,207775,44883139950
intermingle,75612,intermingled,593442,44871336504
prefix,57901,prefixed,774882,44866442682
toast,86093,toasted,520959,44850923187
lubricate,62766,lubricated,712080,44694413280
purge,26503,purged,1685845,44679950035
cushion,131000,cushioned,340978,44668118000
overhear,33032,overheard,1351124,44630327968
stoop,24143,stooped,1843621,44510541803
incur,6035,incurred,7336693,44276942255
cry,1802,cried,24534622,44211388844
adhere,7531,adhered,5823177,43854345987
notify,10377,notified,4225370,43846664490
disclose,6520,disclosed,6721045,43821213400
provoke,7394,provoked,5919533,43769027002
sadden,89384,saddened,489180,43724865120
drill,14261,drilled,3060257,43642325077
denude,125299,denuded,348255,43636003245
vent,35671,vented,1222140,43594955940
negate,34292,negated,1271158,43590550136
leap,7709,leapt,5643052,43502287868
quarter,51540,quartered,842925,43444354500
dispossess,60352,dispossessed,719543,43425859136
amalgamate,66744,amalgamated,647326,43205126544
dust,40275,dusted,1072744,43204764600
deflate,83800,deflated,515197,43173508600
factor,54124,factored,785962,42539407288
undervalue,110437,undervalued,384569,42470646653
dredge,61891,dredged,683004,42271800564
mar,28612,marred,1476693,42251140116
litter,60833,littered,693565,42191639645
tape,160519,taped,262768,42179256592
mortify,60495,mortified,696827,42154549365
clot,132418,clotted,316725,41940091050
rehabilitate,50661,rehabilitated,827615,41927803515
imprison,10612,imprisoned,3940712,41818835744
unionize,257497,unionized,162330,41799488010
interlock,91907,interlocked,453387,41669439009
breast,301475,breasted,138079,41627366525
disrupt,12847,disrupted,3235416,41565389352
vaunt,207150,vaunted,200487,41530882050
rewrite,16475,rewritten,2516452,41458546700
rework,66300,reworked,624373,41395929900
heel,286305,heeled,144302,41314384110
relinquish,17429,relinquished,2366069,41238216601
smooth,14888,smoothed,2768075,41211100600
bare,102978,bared,399952,41186257056
salvage,52255,salvaged,785974,41071071370
interpret,1912,interpreted,21455939,41023755368
envy,24538,envied,1661192,40762329296
riddle,93354,riddled,436572,40755742488
recapture,35810,recaptured,1129860,40460286600
ripple,65689,rippled,615852,40454702028
wad,36242,wadded,1115282,40420050244
fly,1695,flown,23842948,40413796860
indict,38856,indicted,1039940,40407908640
harry,119766,harried,337365,40404856590
succeed,1290,succeeded,31311583,40391942070
